"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4,C5","0.1 uF","~","Capacitor_THT:C_Rect_L10.3mm_W4.5mm_P7.50mm_MKS4","4",""
"C2","220 uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D2","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Conn_01x03_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J3","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J4","Screw_Terminal_01x02","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"R1","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","1000","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3,R8,R9,R11,R12","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R4,R5,R6,R7","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R10","20K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R13","2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1","Varistor_US","~","Varistor:RV_Disc_D21.5mm_W4.3mm_P10mm","1",""
"U1","Pico","","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1",""
"U2","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"U3","HLK-PM01","HLK-PM01","HLKPM01:DIP4_HLK-PM_HLK","1",""
